address,balance,num_transactions
0x2fe711799016101950d2126687ee944ff359c3b7,1,1
0x33508f8e25c2ca2e9f0b48a20e6da6fce632d111,2,0.017
0x16cd96e913e60b4806918a53a771c630fb322795,2,0.001
0x6f2c52a7258022304db41a9568c888540b701148,1,0.016347146
0x103e37ad040437420f53c1c5a2869ac1d6149331,1,0.113908139

